datetime,open,close,high,low,volume,money,open_interest
2021-08-11,848.306,871.868,874.381,841.017,777086.0,67691032650.0,1123208.0
2021-08-12,870.026,838.622,871.225,835.358,691577.0,59348130350.0,1140126.0
2021-08-13,834.074,838.934,843.495,813.595,766339.0,64107583800.0,1137057.0
2021-08-16,839.466,846.36,856.337,826.092,725278.0,61749760350.0,1128669.0
2021-08-17,842.482,829.72,854.17,827.152,616899.0,52325117600.0,1141478.0
2021-08-18,825.975,807.561,832.698,801.789,795541.0,65681061000.0,1158987.0
2021-08-19,791.663,759.104,798.496,752.779,1082178.0,84297597050.0,1192202.0
2021-08-20,742.875,772.828,783.249,731.89,966383.0,74181770950.0,1185396.0
2021-08-23,769.806,750.428,783.453,745.598,839385.0,64482238950.0,1197094.0
2021-08-24,750.91,807.389,811.567,746.808,1117240.0,87752779000.0,1151106.0
2021-08-25,813.296,788.31,817.833,775.86,929491.0,74758689400.0,1156002.0
2021-08-26,790.219,799.492,827.641,785.157,1093186.0,89933856550.0,1133740.0
2021-08-27,801.895,824.93,828.962,798.061,831320.0,68584567350.0,1109602.0
2021-08-30,831.927,819.531,856.215,807.544,1120256.0,94728319400.0,1093342.0
2021-08-31,826.344,791.92,831.033,790.477,779711.0,64310740150.0,1090450.0
2021-09-01,785.021,751.535,790.394,745.979,1037585.0,80088568050.0,1053962.0
2021-09-02,752.099,761.357,776.515,745.645,993390.0,76258506700.0,1046577.0
2021-09-03,753.505,773.664,775.457,742.601,807746.0,62098111500.0,1068436.0
2021-09-06,770.985,711.88,782.374,711.225,1101061.0,82659268750.0,1126592.0
2021-09-07,707.998,749.801,755.74,706.598,955327.0,70997014750.0,1099616.0
2021-09-08,748.016,735.144,751.272,722.67,840731.0,62788476350.0,1108116.0
2021-09-09,733.138,717.609,738.214,706.807,1035699.0,75642689200.0,1114742.0
2021-09-10,717.659,720.903,731.373,710.254,747955.0,54455028900.0,1119255.0
2021-09-13,718.753,698.14,738.205,688.775,1129234.0,80999572300.0,1156792.0
2021-09-14,696.942,702.428,717.464,693.888,739520.0,52492961800.0,1144802.0
2021-09-15,696.664,682.621,712.058,673.702,1003662.0,69661672200.0,1142961.0
2021-09-16,680.484,661.025,683.826,651.096,934404.0,62805621650.0,1165269.0
2021-09-17,661.227,620.999,661.883,620.139,1052314.0,67419317150.0,1137311.0
2021-09-22,602.151,660.102,662.925,597.164,935007.0,59737160150.0,1106932.0
2021-09-23,660.005,658.178,676.061,642.839,978083.0,65010643850.0,1100112.0
2021-09-24,660.722,675.774,686.513,647.597,1086867.0,73453420100.0,1055559.0
2021-09-27,673.946,693.311,704.392,668.565,868365.0,60369583100.0,1019290.0
2021-09-28,690.083,670.541,699.029,655.106,850727.0,57560531300.0,1015803.0
2021-09-29,667.93,687.835,698.451,657.388,853694.0,58288500500.0,998088.0
2021-09-30,688.115,713.192,746.552,686.341,1262353.0,91380427700.0,900886.0
2021-10-08,722.036,751.483,756.795,714.868,619197.0,46111072150.0,899311.0
2021-10-11,753.162,788.335,790.422,738.554,924152.0,70890338100.0,894527.0
2021-10-12,784.692,761.37,794.961,752.76,830482.0,64234981650.0,885639.0
2021-10-13,767.476,721.84,790.932,713.533,1129749.0,85137855500.0,894426.0
2021-10-14,719.984,727.471,738.716,703.339,778639.0,56607561350.0,902765.0
2021-10-15,727.26,716.496,733.262,706.73,839637.0,60796405200.0,932476.0
2021-10-18,720.252,700.971,723.759,679.113,958149.0,67384875600.0,938266.0
2021-10-19,698.87,697.435,708.853,685.635,717341.0,50438562250.0,960590.0
2021-10-20,699.166,700.72,723.307,690.233,792335.0,56246579900.0,960478.0
2021-10-21,700.221,642.293,724.871,634.815,1191243.0,82939991600.0,964768.0
2021-10-22,647.467,679.973,688.659,644.956,972613.0,65539966800.0,922739.0
